line
 i = 1, k = 2, dunn = 0.0001152831

 i = 2, k = 2, dunn = 0.0001202400

 i = 3, k = 2, dunn = 0.0001202400

 i = 1, k = 3, dunn = 0.0001152831

 i = 2, k = 3, dunn = 0.0000753938

 i = 3, k = 3, dunn = 0.0000803507

 i = 1, k = 4, dunn = 0.0000697834

 i = 2, k = 4, dunn = 0.0000896898

 i = 3, k = 4, dunn = 0.0000898016

 i = 1, k = 5, dunn = 0.0000712140

 i = 2, k = 5, dunn = 0.0000813234

 i = 3, k = 5, dunn = 0.0000898016

 i = 1, k = 6, dunn = 0.0000736639

 i = 2, k = 6, dunn = 0.0001297852

 i = 3, k = 6, dunn = 0.0000814248

 i = 1, k = 7, dunn = 0.0000736639

 i = 2, k = 7, dunn = 0.0000813234

 i = 3, k = 7, dunn = 0.0000814248

 i = 1, k = 8, dunn = 0.0000712140

 i = 2, k = 8, dunn = 0.0000813234

 i = 3, k = 8, dunn = 0.0001310795

 i = 1, k = 9, dunn = 0.0000712140

 i = 2, k = 9, dunn = 0.0000735722

 i = 3, k = 9, dunn = 0.0000171204

 i = 1, k = 10, dunn = 0.0000712140

 i = 2, k = 10, dunn = 0.0000735722

 i = 3, k = 10, dunn = 0.0000898016

 max.ki = 2, max.dunn = 0.0000898016

 e = 1, max.ki = 2, max.dunn = 0.3598489469

 i = 1, k = 2, dunn = 0.0001152831

 i = 2, k = 2, dunn = 0.0001241668

 i = 3, k = 2, dunn = 0.0001152831

 i = 1, k = 3, dunn = 0.0001202400

 i = 2, k = 3, dunn = 0.0000746914

 i = 3, k = 3, dunn = 0.0001203221

 i = 1, k = 4, dunn = 0.0000746914

 i = 2, k = 4, dunn = 0.0000765420

 i = 3, k = 4, dunn = 0.0001299501

 i = 1, k = 5, dunn = 0.0000736657

 i = 2, k = 5, dunn = 0.0000813002

 i = 3, k = 5, dunn = 0.0000736657

 i = 1, k = 6, dunn = 0.0000736657

 i = 2, k = 6, dunn = 0.0000813002

 i = 3, k = 6, dunn = 0.0000814267

 i = 1, k = 7, dunn = 0.0000736657

 i = 2, k = 7, dunn = 0.0000813002

 i = 3, k = 7, dunn = 0.0000814267

 i = 1, k = 8, dunn = 0.0000736657

 i = 2, k = 8, dunn = 0.0000813002

 i = 3, k = 8, dunn = 0.0000814267

 i = 1, k = 9, dunn = 0.0000736657

 i = 2, k = 9, dunn = 0.0000170942

 i = 3, k = 9, dunn = 0.0000736657

 i = 1, k = 10, dunn = 0.0000736657

 i = 2, k = 10, dunn = 0.0000813002

 i = 3, k = 10, dunn = 0.0000736657

 max.ki = 2, max.dunn = 0.0000736657

 e = 2, max.ki = 2, max.dunn = 0.3584310815

 i = 1, k = 2, dunn = 0.0001202400

