Classifier,C,Sigma,Mtry,Ntree,Size,Decay,Depth,Ntrees,Shrinkage,Nminobsinnode,SampleMethod,Observations,Accuracy,Precision,Recall,F1.Score,TimeTaken
gbm,,,,,,,5,100,0.1,10,random,1000,0.905,0.955801104972376,0.940217391304348,0.947945205479452,9.78889393806458
nnet,,,,,,,,,,,random,1000,0.905,0.941176470588235,0.956521739130435,0.948787061994609,2.13270058234533
rf,,,,,,,,,,,random,1000,0.91,0.946236559139785,0.956521739130435,0.951351351351351,11.4403939247131
svm,,,,,,,,,,,random,1000,0.925,0.924623115577889,1,0.960835509138381,19.7949998378754
gbm,,,,,,,5,100,0.5,10,1/2,1000,0.805,0.821052631578947,0.78,0.8,9.30994415283203
nnet,,,,,,,,,,,1/2,1000,0.775,0.752293577981651,0.82,0.784688995215311,2.09263818264008
rf,,,,,,,,,,,1/2,1000,0.86,0.86,0.86,0.86,14.6614458560944
svm,,,,,,,,,,,1/2,1000,0.785,0.771428571428571,0.81,0.790243902439024,25.2757968902588
gbm,,,,,,,5,30,0.1,10,proportional,1000,0.919597989949749,0.932642487046632,0.983606557377049,0.957446808510638,8.18507599830627
nnet,,,,,,,,,,,proportional,1000,0.909547738693467,0.923076923076923,0.983606557377049,0.952380952380952,2.13248093525569
rf,,,,,,,,,,,proportional,1000,0.919597989949749,0.941798941798942,0.972677595628415,0.956989247311828,12.3508939743042
svm,,,,,,,,,,,proportional,1000,0.934673366834171,0.933673469387755,1,0.965699208443272,21.4009599685669
gbm,,,,,,,5,30,0.1,10,random,2000,0.919799498746867,0.930051813471503,0.986263736263736,0.957333333333333,12.8993430137634
nnet,,,,,,,,,,,random,2000,0.909774436090226,0.92051282051282,0.986263736263736,0.952254641909814,2.97438374757767
rf,,,,,,,,,,,random,2000,0.93483709273183,0.942408376963351,0.989010989010989,0.96514745308311,24.9748229980469
svm,,,,,,,,,,,random,2000,0.93984962406015,0.938144329896907,1,0.968085106382979,55.3599359989166
gbm,,,,,,,5,100,0.5,10,1/2,2000,0.855,0.877659574468085,0.825,0.850515463917526,14.986713886261
nnet,,,,,,,,,,,1/2,2000,0.8,0.788461538461538,0.82,0.803921568627451,3.2925076842308
rf,,,,,,,,,,,1/2,2000,0.885,0.901041666666667,0.865,0.88265306122449,28.9045231342316
svm,,,,,,,,,,,1/2,2000,0.895,0.837606837606838,0.98,0.903225806451613,1.2007047533989
gbm,,,,,,,5,100,0.1,10,proportional,2000,0.927318295739348,0.939947780678851,0.983606557377049,0.96128170894526,14.3888440132141
nnet,,,,,,,,,,,proportional,2000,0.917293233082707,0.925831202046036,0.989071038251366,0.956406869220608,2.83317030270894
rf,,,,,,,,,,,proportional,2000,0.944862155388471,0.952631578947368,0.989071038251366,0.970509383378016,25.1846258640289
svm,,,,,,,,,,,proportional,2000,0.942355889724311,0.940874035989717,1,0.96953642384106,56.940306186676
gbm,,,,,,,5,30,0.1,10,random,3000,0.929883138564274,0.942206654991243,0.983546617915905,0.962432915921288,17.78364610672
nnet,,,,,,,,,,,random,3000,0.936560934891486,0.939550949913644,0.994515539305302,0.966252220248668,3.57273778120677
rf,,,,,,,,,,,random,3000,0.938230383973289,0.950530035335689,0.983546617915905,0.966756513926325,39.5070850849152
svm,,,,,,,,,,,random,3000,0.939899833055092,0.939759036144578,0.998171846435101,0.968085106382979,1.82321613232295
gbm,,,,,,,5,100,0.5,10,1/2,3000,0.863333333333333,0.894927536231884,0.823333333333333,0.857638888888889,21.1926889419556
nnet,,,,,,,,,,,1/2,3000,0.768333333333333,0.767441860465116,0.77,0.768718801996672,3.61668898264567
rf,,,,,,,,,,,1/2,3000,0.923333333333333,0.960144927536232,0.883333333333333,0.920138888888889,44.0353269577026
svm,,,,,,,,,,,1/2,3000,0.961666666666667,0.936908517350158,0.99,0.962722852512156,2.37904539903005
gbm,,,,,,,5,100,0.5,10,proportional,3000,0.91652754590985,0.94316163410302,0.967213114754098,0.955035971223022,20.5354838371277
nnet,,,,,,,,,,,proportional,3000,0.908180300500835,0.924398625429553,0.979963570127505,0.951370468611848,3.63246066570282
rf,,,,,,,,,,,proportional,3000,0.936560934891486,0.953818827708703,0.978142076502732,0.965827338129496,36.6581361293793
