dataset,classifier,resampling,distribution,threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_terms,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,bootstrap,balanced,4,2382,1191,1191,794,397,397,long_description,200,200,186,197,211,0.5181347150259067,0.48284313725490197,0.5004889261404043,0.5181347150259067,0.48661800486618007,0.5018820577164367
Eclipse,knn,bootstrap,balanced,12,2382,1191,1191,794,397,397,long_description,200,151,133,246,264,0.5316901408450704,0.4823529411764706,0.5070215410107705,0.5316901408450704,0.363855421686747,0.4320457796852647
Eclipse,knn,bootstrap,balanced,20,2382,1191,1191,794,397,397,long_description,200,171,172,226,225,0.49854227405247814,0.5011086474501109,0.4998254607512945,0.49854227405247814,0.4318181818181818,0.462787550744249
Eclipse,knn,bootstrap,balanced,28,2382,1191,1191,794,397,397,long_description,200,155,142,242,255,0.5218855218855218,0.4869215291750503,0.5044035255302861,0.5218855218855218,0.3780487804878049,0.43847241867043846
Eclipse,knn,bootstrap,balanced,36,2382,1191,1191,794,397,397,long_description,200,153,169,244,228,0.4751552795031056,0.5169491525423728,0.4960522160227392,0.4751552795031056,0.4015748031496063,0.43527738264580373
Eclipse,knn,bootstrap,balanced,44,2382,1191,1191,794,397,397,long_description,200,169,158,228,239,0.5168195718654435,0.48822269807280516,0.5025211349691243,0.5168195718654435,0.41421568627450983,0.45986394557823135
Eclipse,knn,bootstrap,balanced,52,2382,1191,1191,794,397,397,long_description,200,170,161,227,236,0.513595166163142,0.490280777537797,0.5019379718504695,0.513595166163142,0.4187192118226601,0.4613297150610584
Eclipse,knn,bootstrap,balanced,60,2382,1191,1191,794,397,397,long_description,200,160,149,237,248,0.517799352750809,0.488659793814433,0.503229573282621,0.517799352750809,0.39215686274509803,0.44630404463040446
Eclipse,knn,cv52,balanced,4,2382,1191,1191,794,397,397,long_description,200,200,187,197,210,0.5167958656330749,0.48402948402948404,0.5004126748312795,0.5167958656330749,0.4878048780487805,0.5018820577164366
Eclipse,knn,cv52,balanced,12,2382,1191,1191,794,397,397,long_description,200,153,126,244,271,0.5483870967741935,0.47378640776699027,0.5110867522705919,0.5483870967741935,0.3608490566037736,0.4352773826458037
Eclipse,knn,cv52,balanced,20,2382,1191,1191,794,397,397,long_description,200,170,163,227,234,0.5105105105105106,0.4924078091106291,0.5014591598105698,0.5105105105105106,0.4207920792079208,0.4613297150610584
Eclipse,knn,cv52,balanced,28,2382,1191,1191,794,397,397,long_description,200,146,138,251,259,0.5140845070422535,0.492156862745098,0.5031206848936758,0.5140845070422535,0.36049382716049383,0.42380261248185774
Eclipse,knn,cv52,balanced,36,2382,1191,1191,794,397,397,long_description,200,154,169,243,228,0.47678018575851394,0.5159235668789809,0.49635187631874744,0.47678018575851394,0.4031413612565445,0.4368794326241135
Eclipse,knn,cv52,balanced,44,2382,1191,1191,794,397,397,long_description,200,151,130,246,267,0.5373665480427047,0.47953216374269003,0.5084493558926974,0.5373665480427047,0.361244019138756,0.4320457796852647
Eclipse,knn,cv52,balanced,52,2382,1191,1191,794,397,397,long_description,200,160,149,237,248,0.517799352750809,0.488659793814433,0.503229573282621,0.517799352750809,0.39215686274509803,0.44630404463040446
Eclipse,knn,cv52,balanced,60,2382,1191,1191,794,397,397,long_description,200,174,156,223,241,0.5272727272727272,0.48060344827586204,0.5039380877742946,0.5272727272727272,0.41927710843373495,0.4671140939597316
Eclipse,rf,bootstrap,balanced,4,2382,1191,1191,794,397,397,long_description,200,202,160,195,237,0.5580110497237569,0.4513888888888889,0.5046999693063229,0.5580110497237569,0.4601366742596811,0.5043695380774031
