Dataset,Model,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Summary_N_Terms,Tp,Fp,Tn,Fn,Precision,Recall,Fmeasure,Acc_0,Acc_1
Eclipse,knn,4,5593,2442,3151,1864,814,1050,200,282,315,532,735,0.472361809045226,0.277286135693215,0.349442379182156,0.472361809045226,0.419889502762431
Eclipse,svmRadial,4,5593,2442,3151,1864,814,1050,200,21,16,793,1034,0.567567567567568,0.0199052132701422,0.0384615384615385,0.567567567567568,0.434044882320744
Eclipse,knn,8,5593,2992,2601,1864,997,867,200,520,439,477,428,0.542231491136601,0.548523206751055,0.545359202936549,0.542231491136601,0.52707182320442
Eclipse,svmRadial,8,5593,2992,2601,1864,997,867,200,938,775,59,92,0.547577349678926,0.910679611650485,0.683922712358731,0.547577349678926,0.390728476821192
Eclipse,knn,16,5594,3458,2136,1863,1152,711,200,881,548,271,163,0.616515045486354,0.843869731800766,0.712494945410433,0.616515045486354,0.624423963133641
Eclipse,svmRadial,16,5594,3458,2136,1863,1152,711,200,1149,710,3,1,0.618074233458849,0.999130434782609,0.76370887337986,0.618074233458849,0.75
Eclipse,knn,32,5593,3961,1632,1864,1320,544,200,1186,481,134,63,0.711457708458308,0.949559647718175,0.813443072702332,0.711457708458308,0.680203045685279
Eclipse,svmRadial,32,5593,3961,1632,1864,1320,544,200,1320,544,0,0,0.708154506437768,1,0.829145728643216,0.708154506437768,NA
Eclipse,knn,64,5593,4461,1132,1864,1487,377,200,1456,367,31,10,0.7986834887548,0.993178717598909,0.885375494071146,0.7986834887548,0.75609756097561
Eclipse,svmRadial,64,5593,4461,1132,1864,1487,377,200,1487,377,0,0,0.79774678111588,1,0.887496269770218,0.79774678111588,NA
Eclipse,knn,128,5593,4884,709,1864,1628,236,200,1627,235,1,1,0.873791621911923,0.999385749385749,0.932378223495702,0.873791621911923,0.5
Eclipse,svmRadial,128,5593,4884,709,1864,1628,236,200,1626,234,2,2,0.874193548387097,0.998771498771499,0.932339449541284,0.874193548387097,0.5
Eclipse,knn,256,5594,5238,356,1863,1745,118,200,1744,118,1,0,0.936627282491944,1,0.967276760953966,0.936627282491944,1
Eclipse,svmRadial,256,5594,5238,356,1863,1745,118,200,1745,118,0,0,0.93666129898014,1,0.967294900221729,0.93666129898014,NA
Eclipse,knn,512,5594,5496,98,1863,1831,32,200,1831,32,0,0,0.982823403113258,1,0.991337303735788,0.982823403113258,NA
Eclipse,svmRadial,512,5594,5496,98,1863,1831,32,200,1831,32,0,0,0.982823403113258,1,0.991337303735788,0.982823403113258,NA
