Dataset,Model,Resampling,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,cv 5x2,4,5804,2511,3293,1933,836,1097,Description,200,286,346,550,751,0.45253164556962,0.422751729438893,0.437641687504257,0.45253164556962,0.27579556412729,0.342720191731576
Eclipse,knn,cv 5x2,8,5803,3075,2728,1934,1025,909,Description,200,545,458,480,451,0.543369890329013,0.515574650912997,0.529472270621005,0.543369890329013,0.54718875502008,0.545272636318159
Eclipse,knn,cv 5x2,16,5803,3555,2248,1934,1185,749,Description,200,818,466,367,283,0.637071651090343,0.564615384615385,0.600843517852864,0.637071651090343,0.742960944595822,0.685953878406709
Eclipse,knn,cv 5x2,32,5804,4085,1719,1933,1361,572,Description,200,1197,502,164,70,0.70453207769276,0.700854700854701,0.702693389273731,0.70453207769276,0.94475138121547,0.807147673634525
Eclipse,knn,cv 5x2,64,5803,4612,1191,1934,1537,397,Description,200,1497,385,40,12,0.795430393198725,0.769230769230769,0.782330581214747,0.795430393198725,0.992047713717694,0.882925390740195
Eclipse,knn,cv 5x2,128,5803,5055,748,1934,1685,249,Description,200,1671,247,14,2,0.871220020855057,0.875,0.873110010427529,0.871220020855057,0.998804542737597,0.930659983291562
Eclipse,knn,cv 5x2,256,5804,5429,375,1933,1809,124,Description,200,1807,124,2,0,0.935784567581564,1,0.967892283790782,0.935784567581564,1,0.966827180310326
Eclipse,knn,cv 5x2,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,rf,cv 5x2,4,5804,2511,3293,1933,836,1097,Description,200,236,215,600,882,0.523281596452328,0.404858299595142,0.464069948023735,0.523281596452328,0.211091234347048,0.300828553218611
Eclipse,rf,cv 5x2,8,5803,3075,2728,1934,1025,909,Description,200,683,496,342,413,0.57930449533503,0.452980132450331,0.51614231389268,0.57930449533503,0.623175182481752,0.60043956043956
Eclipse,rf,cv 5x2,16,5803,3555,2248,1934,1185,749,Description,200,1123,687,62,62,0.620441988950276,0.5,0.560220994475138,0.620441988950276,0.947679324894515,0.74991652754591
Eclipse,rf,cv 5x2,32,5804,4085,1719,1933,1361,572,Description,200,1360,566,1,6,0.706126687435099,0.142857142857143,0.424491915146121,0.706126687435099,0.995607613469985,0.826245443499393
Eclipse,rf,cv 5x2,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,rf,cv 5x2,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,rf,cv 5x2,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,rf,cv 5x2,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,svm,cv 5x2,4,5804,2511,3293,1933,836,1097,Description,200,241,192,595,905,0.556581986143187,0.396666666666667,0.476624326404927,0.556581986143187,0.210296684118674,0.305256491450285
Eclipse,svm,cv 5x2,8,5803,3075,2728,1934,1025,909,Description,200,706,537,319,372,0.567980691874497,0.4616497829233,0.514815237398898,0.567980691874497,0.654916512059369,0.608358466178371
Eclipse,svm,cv 5x2,16,5803,3555,2248,1934,1185,749,Description,200,1140,697,45,52,0.620577027762657,0.463917525773196,0.542247276767926,0.620577027762657,0.956375838926175,0.752723671178607
Eclipse,svm,cv 5x2,32,5804,4085,1719,1933,1361,572,Description,200,1361,566,0,6,0.706279190451479,0,0.35313959522574,0.706279190451479,0.995610826627652,0.826350941105039
Eclipse,svm,cv 5x2,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,svm,cv 5x2,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,svm,cv 5x2,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,svm,cv 5x2,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,knn,cv 5x2,4,5607,2451,3156,1867,816,1051,Summary,200,289,369,527,682,0.439209726443769,0.435897435897436,0.437553581170602,0.439209726443769,0.297631307929969,0.354818907305095
Eclipse,knn,cv 5x2,8,5607,3000,2607,1867,999,868,Summary,200,585,496,414,372,0.541165587419056,0.526717557251908,0.533941572335482,0.541165587419056,0.61128526645768,0.574092247301276
Eclipse,knn,cv 5x2,16,5606,3465,2141,1868,1155,713,Summary,200,905,533,250,180,0.629346314325452,0.581395348837209,0.605370831581331,0.629346314325452,0.834101382488479,0.717399920729291
Eclipse,knn,cv 5x2,32,5607,3972,1635,1867,1323,544,Summary,200,1214,488,109,56,0.713278495887191,0.660606060606061,0.686942278246626,0.713278495887191,0.955905511811024,0.816958277254374
Eclipse,knn,cv 5x2,64,5606,4474,1132,1868,1491,377,Summary,200,1471,371,20,6,0.798588490770901,0.769230769230769,0.783909630000835,0.798588490770901,0.995937711577522,0.886411569749925
Eclipse,knn,cv 5x2,128,5606,4896,710,1868,1632,236,Summary,200,1629,236,3,0,0.873458445040215,1,0.936729222520107,0.873458445040215,1,0.932455638236978
Eclipse,knn,cv 5x2,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,knn,cv 5x2,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,rf,cv 5x2,4,5607,2451,3156,1867,816,1051,Summary,200,215,200,601,851,0.518072289156627,0.413911845730028,0.465992067443327,0.518072289156627,0.201688555347092,0.290344361917623
Eclipse,rf,cv 5x2,8,5607,3000,2607,1867,999,868,Summary,200,787,662,212,206,0.543133195307108,0.507177033492823,0.525155114399966,0.543133195307108,0.792547834843907,0.644553644553645
Eclipse,rf,cv 5x2,16,5606,3465,2141,1868,1155,713,Summary,200,1087,652,68,61,0.625071880391029,0.527131782945736,0.576101831668383,0.625071880391029,0.946864111498258,0.753030827848978
Eclipse,rf,cv 5x2,32,5607,3972,1635,1867,1323,544,Summary,200,1309,540,14,4,0.707950243374797,0.777777777777778,0.742864010576287,0.707950243374797,0.996953541507997,0.827956989247312
Eclipse,rf,cv 5x2,64,5606,4474,1132,1868,1491,377,Summary,200,1490,375,1,2,0.798927613941019,0.333333333333333,0.566130473637176,0.798927613941019,0.998659517426273,0.887697348823354
