IssueKey,Assignee,Created,Resolution,ResolutionCode,Resolved,Severity,SeverityCode,Status,StatusCode,Type,TypeCode,Updated,Votes,DaysToResolve,QuantityOfComments
PLATFORM-8066,knut_radloff,2002-01-23,fixed,1,2002-05-08,normal,5,resolved,4,,0,2002-05-09,0,105,0
JDT-13900,erich_gamma,2002-04-16,fixed,1,2002-04-23,normal,5,resolved,4,,0,2002-04-23,0,7,0
PLATFORM-5938,debbie_wilson,2001-11-14,fixed,1,2002-02-13,normal,5,resolved,4,,0,2002-03-12,0,91,0
JDT-12812,kai-uwe_maetzel,2002-04-04,fixed,1,2002-04-23,normal,5,resolved,4,,0,2002-04-23,0,19,0
PLATFORM-10177,Kevin_Haaland,2002-02-25,fixed,1,2002-03-06,normal,5,resolved,4,,0,2002-03-06,0,9,0
JDT-10697,Olivier_Thomann,2002-03-04,fixed,1,2002-03-08,normal,5,resolved,4,,0,2002-03-08,0,4,0
PLATFORM-7005,bshingar,2001-12-17,fixed,1,2002-01-01,critical,2,resolved,4,,0,2002-03-07,0,15,0
JDT-10472,philippe_mulet,2002-02-28,fixed,1,2002-02-28,normal,5,resolved,4,,0,2002-02-28,0,0,0
PDE-14030,wassim.melhem,2002-04-17,fixed,1,2004-02-25,normal,5,resolved,4,,0,2004-02-26,0,679,0
JDT-14510,dirk_baeumer,2002-04-24,fixed,1,2002-05-03,normal,5,resolved,4,,0,2002-05-03,0,9,0
JDT-3241,kent_johnson,2001-10-10,fixed,1,2001-12-10,normal,5,resolved,4,,0,2002-01-14,0,61,0
JDT-5848,akiezun,2001-11-13,fixed,1,2001-11-16,normal,5,resolved,4,,0,2001-11-16,0,3,0
JDT-6154,akiezun,2001-11-21,fixed,1,2002-08-20,normal,5,resolved,4,,0,2002-08-20,0,272,0
JDT-9790,Olivier_Thomann,2002-02-13,fixed,1,2002-03-27,minor,5,resolved,4,,0,2015-03-18,0,42,0
PLATFORM-13133,simon_arsenault,2002-04-09,fixed,1,2002-04-10,normal,5,resolved,4,,0,2002-04-10,0,1,0
PDE-11423,dejan,2002-03-14,fixed,1,2002-03-14,normal,5,resolved,4,,0,2002-03-14,0,0,0
PLATFORM-2200,ryan_cooper,2001-10-10,fixed,1,2002-04-16,normal,5,resolved,4,,0,2002-04-16,0,188,0
PLATFORM-12137,dj.houghton,2002-03-22,fixed,1,2002-04-17,normal,5,resolved,4,,0,2002-04-17,0,26,0
PLATFORM-2568,Kevin_Haaland,2001-10-10,fixed,1,2002-01-24,normal,5,resolved,4,,0,2002-01-24,0,106,0
JDT-7434,erich_gamma,2002-01-10,fixed,1,2002-05-01,normal,5,resolved,4,,0,2002-05-01,0,111,0
JDT-12082,jdt-ui-inbox,2002-03-21,fixed,1,2002-09-17,normal,5,resolved,4,,0,2003-02-17,0,180,0
PLATFORM-14063,birsan,2002-04-17,fixed,1,2002-05-16,minor,5,resolved,4,,0,2002-05-16,0,29,0
JDT-4092,erich_gamma,2001-10-10,fixed,1,2001-10-12,normal,5,resolved,4,,0,2001-10-29,0,2,0
