IssueKey,Who,When,What,Removed,Added
JDT-7945,daniel_megert,2002-01-28,severity,normal,major
JDT-9566,akiezun,2002-02-13,severity,normal,major
PLATFORM-10481,justin,2002-03-01,severity,normal,major
PLATFORM-6995,john.arthorne,2001-12-17,severity,normal,major
PLATFORM-10482,justin,2002-03-01,severity,normal,major
PLATFORM-5456,kai-uwe_maetzel,2001-11-02,severity,normal,critical
JDT-9815,erich_gamma,2002-02-14,severity,major,normal
PLATFORM-10757,daniel_megert,2002-03-11,severity,normal,major
JDT-3550,claude_knaus,2002-09-18,severity,normal,minor
JDT-14561,nick_edgar,2002-04-24,severity,normal,critical
PLATFORM-8021,nick_edgar,2002-01-23,severity,normal,critical
PLATFORM-12579,hudsonr,2002-04-08,severity,normal,major
PLATFORM-13985,nick_edgar,2002-04-17,severity,normal,major
JDT-11278,mfaraj,2002-03-13,severity,normal,trivial
PLATFORM-2051,nick_edgar,2002-01-18,severity,enhancement,major
PLATFORM-12463,birsan,2002-08-01,severity,major,critical
PLATFORM-12597,veronika_irvine,2002-05-15,severity,major,normal
JDT-6457,dirk_baeumer,2002-01-10,severity,normal,major
PDE-6065,nick_edgar,2002-05-13,severity,normal,critical
PDE-9261,nick_edgar,2002-06-03,severity,normal,major
PLATFORM-5399,kevin_haaland,2002-09-03,severity,normal,enhancement
PLATFORM-5399,kevin_haaland,2002-09-03,severity,enhancement,major
PLATFORM-2470,knut_radloff,2002-09-05,severity,enhancement,normal
PLATFORM-9355,tomasz,2003-10-03,severity,enhancement,major
PLATFORM-9355,tomasz,2003-11-11,severity,major,critical
PLATFORM-9772,kevin_mcguire,2002-02-15,severity,normal,major
PLATFORM-9772,kevin_mcguire,2002-02-27,severity,major,normal
PLATFORM-14061,nick_edgar,2002-04-18,severity,normal,major
PLATFORM-14061,nick_edgar,2002-05-30,severity,major,critical
PLATFORM-13804,nick_edgar,2002-04-25,severity,normal,critical
JDT-4912,erich_gamma,2001-10-11,severity,normal,major
PLATFORM-7073,john.arthorne,2001-12-18,severity,normal,major
PLATFORM-10483,justin,2002-03-01,severity,normal,blocker
PLATFORM-10871,akiezun,2002-03-06,severity,normal,major
JDT-11827,akiezun,2002-03-20,severity,normal,major
JDT-8812,daniel_megert,2002-01-31,severity,major,critical
PLATFORM-12718,nick_edgar,2002-05-16,severity,normal,major
PLATFORM-6585,kevin_mcguire,2001-12-07,severity,critical,normal
CDT-7866,turnham,2002-03-19,severity,normal,major
PLATFORM-12347,kevin_mcguire,2002-03-27,severity,major,normal
PLATFORM-12922,nick_edgar,2002-05-26,severity,normal,critical
