Dataset,Model,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,4,5804,2511,3293,1933,836,1097,Description,200,271,325,565,772,0.454697986577181,0.422587883320868,0.438642934949024,0.454697986577181,0.259827420901246,0.330689444783405
Eclipse,knn,8,5803,3075,2728,1934,1025,909,Description,200,572,466,453,443,0.551059730250482,0.505580357142857,0.528320043696669,0.551059730250482,0.563546798029557,0.557233317096931
Eclipse,knn,16,5803,3555,2248,1934,1185,749,Description,200,818,467,367,282,0.636575875486381,0.565485362095532,0.601030618790956,0.636575875486381,0.743636363636364,0.685953878406709
Eclipse,knn,32,5804,4085,1719,1933,1361,572,Description,200,1197,502,164,70,0.70453207769276,0.700854700854701,0.702693389273731,0.70453207769276,0.94475138121547,0.807147673634525
Eclipse,knn,64,5803,4612,1191,1934,1537,397,Description,200,1497,385,40,12,0.795430393198725,0.769230769230769,0.782330581214747,0.795430393198725,0.992047713717694,0.882925390740195
Eclipse,knn,128,5803,5055,748,1934,1685,249,Description,200,1671,247,14,2,0.871220020855057,0.875,0.873110010427529,0.871220020855057,0.998804542737597,0.930659983291562
Eclipse,knn,256,5804,5429,375,1933,1809,124,Description,200,1807,124,2,0,0.935784567581564,1,0.967892283790782,0.935784567581564,1,0.966827180310326
Eclipse,knn,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,rf,4,5804,2511,3293,1933,836,1097,Description,200,246,209,590,888,0.540659340659341,0.399188092016238,0.469923716337789,0.540659340659341,0.216931216931217,0.309628697293896
Eclipse,rf,8,5803,3075,2728,1934,1025,909,Description,200,682,503,343,406,0.575527426160338,0.457943925233645,0.516735675696991,0.575527426160338,0.626838235294118,0.600087989441267
Eclipse,rf,16,5803,3555,2248,1934,1185,749,Description,200,1114,681,71,68,0.620612813370474,0.510791366906475,0.565702090138474,0.620612813370474,0.942470389170897,0.748404433993954
Eclipse,rf,32,5804,4085,1719,1933,1361,572,Description,200,1360,565,1,7,0.706493506493507,0.125,0.415746753246753,0.706493506493507,0.99487929773226,0.826245443499392
Eclipse,rf,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,rf,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,rf,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,rf,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,svm,4,5804,2511,3293,1933,836,1097,Description,200,41,24,795,1073,0.630769230769231,0.42558886509636,0.528179047932795,0.630769230769231,0.0368043087971275,0.0695504664970314
Eclipse,svm,8,5803,3075,2728,1934,1025,909,Description,200,706,537,319,372,0.567980691874497,0.4616497829233,0.514815237398898,0.567980691874497,0.654916512059369,0.608358466178371
Eclipse,svm,16,5803,3555,2248,1934,1185,749,Description,200,1184,748,1,1,0.612836438923395,0.5,0.556418219461698,0.612836438923395,0.99915611814346,0.759704844401668
Eclipse,svm,32,5804,4085,1719,1933,1361,572,Description,200,1361,572,0,0,0.704086911536472,NA,NA,0.704086911536472,1,0.826350941105039
Eclipse,svm,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,svm,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,svm,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,svm,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,knn,4,5607,2451,3156,1867,816,1051,Summary,200,293,372,523,679,0.440601503759398,0.435108153078203,0.437854828418801,0.440601503759398,0.301440329218107,0.357971899816738
Eclipse,knn,8,5607,3000,2607,1867,999,868,Summary,200,586,503,413,365,0.538108356290175,0.530848329048843,0.534478342669509,0.538108356290175,0.616193480546793,0.574509803921569
Eclipse,knn,16,5606,3465,2141,1868,1155,713,Summary,200,905,535,250,178,0.628472222222222,0.58411214953271,0.606292185877466,0.628472222222222,0.835641735918744,0.717399920729291
Eclipse,knn,32,5607,3972,1635,1867,1323,544,Summary,200,1219,487,104,57,0.71453692848769,0.645962732919255,0.680249830703473,0.71453692848769,0.955329153605016,0.81757209926224
Eclipse,knn,64,5606,4474,1132,1868,1491,377,Summary,200,1470,371,21,6,0.798479087452472,0.777777777777778,0.788128432615125,0.798479087452472,0.995934959349594,0.886343081097377
Eclipse,knn,128,5606,4896,710,1868,1632,236,Summary,200,1629,236,3,0,0.873458445040215,1,0.936729222520107,0.873458445040215,1,0.932455638236978
Eclipse,knn,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,knn,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,rf,4,5607,2451,3156,1867,816,1051,Summary,200,197,182,619,869,0.519788918205805,0.415994623655914,0.467891770930859,0.519788918205805,0.184803001876173,0.272664359861592
Eclipse,rf,8,5607,3000,2607,1867,999,868,Summary,200,795,675,204,193,0.540816326530612,0.513853904282116,0.527335115406364,0.540816326530612,0.804655870445344,0.64686737184703
Eclipse,rf,16,5606,3465,2141,1868,1155,713,Summary,200,1101,656,54,57,0.626636311895276,0.486486486486487,0.556561399190881,0.626636311895276,0.950777202072539,0.755403087478559
Eclipse,rf,32,5607,3972,1635,1867,1323,544,Summary,200,1305,540,18,4,0.707317073170732,0.818181818181818,0.762749445676275,0.707317073170732,0.99694423223835,0.827520608750793
