Dataset,Model,Resampling,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,bootstrap,4,5804,2511,3293,1933,836,1097,Description,100,272,326,564,771,0.454849498327759,0.42247191011236,0.438660704220059,0.454849498327759,0.2607861936721,0.331505179768434
Eclipse,knn,bootstrap,8,5803,3075,2728,1934,1025,909,Description,100,572,466,453,443,0.551059730250482,0.505580357142857,0.528320043696669,0.551059730250482,0.563546798029557,0.557233317096931
Eclipse,knn,bootstrap,12,5803,3318,2485,1934,1106,828,Description,100,668,450,438,378,0.597495527728086,0.536764705882353,0.567130116805219,0.597495527728086,0.638623326959847,0.617375231053604
Eclipse,knn,bootstrap,16,5803,3555,2248,1934,1185,749,Description,100,818,469,367,280,0.635586635586636,0.567233384853168,0.601410010219902,0.635586635586636,0.744990892531876,0.685953878406709
Eclipse,knn,bootstrap,20,5804,3702,2102,1933,1233,700,Description,100,906,489,327,211,0.649462365591398,0.607806691449814,0.628634528520606,0.649462365591398,0.811101163831692,0.721337579617834
Eclipse,knn,bootstrap,24,5804,3861,1943,1933,1286,647,Description,100,1045,523,241,124,0.666454081632653,0.66027397260274,0.663364027117696,0.666454081632653,0.893926432848589,0.763609791742784
Eclipse,knn,bootstrap,28,5804,3977,1827,1933,1325,608,Description,100,1067,469,258,139,0.694661458333333,0.649874055415617,0.672267756874475,0.694661458333333,0.884742951907131,0.778264040846098
Eclipse,knn,bootstrap,32,5804,4085,1719,1933,1361,572,Description,100,1197,502,164,70,0.70453207769276,0.700854700854701,0.702693389273731,0.70453207769276,0.94475138121547,0.807147673634525
Eclipse,knn,bootstrap,64,5803,4612,1191,1934,1537,397,Description,100,1497,385,40,12,0.795430393198725,0.769230769230769,0.782330581214747,0.795430393198725,0.992047713717694,0.882925390740195
Eclipse,knn,bootstrap,96,5803,4867,936,1934,1622,312,Description,100,1592,297,30,15,0.842773954473266,0.666666666666667,0.754720310569966,0.842773954473266,0.990665836963286,0.910755148741419
Eclipse,knn,bootstrap,128,5803,5055,748,1934,1685,249,Description,100,1671,247,14,2,0.871220020855057,0.875,0.873110010427529,0.871220020855057,0.998804542737597,0.930659983291562
Eclipse,knn,bootstrap,160,5803,5181,622,1934,1727,207,Description,100,1723,206,4,1,0.893208916537066,0.8,0.846604458268533,0.893208916537066,0.999419953596288,0.943334245825349
Eclipse,knn,bootstrap,192,5804,5268,536,1933,1755,178,Description,100,1753,178,2,0,0.907819782496116,1,0.953909891248058,0.907819782496116,1,0.951682953311618
Eclipse,knn,bootstrap,224,5804,5367,437,1933,1788,145,Description,100,1785,144,3,1,0.925349922239502,0.75,0.837674961119751,0.925349922239502,0.999440089585666,0.960969044414536
Eclipse,knn,bootstrap,256,5804,5429,375,1933,1809,124,Description,200,1807,124,2,0,0.935784567581564,1,0.967892283790782,0.935784567581564,1,0.966827180310326
Eclipse,knn,bootstrap,288,5803,5475,328,1934,1825,109,Description,200,1824,109,1,0,0.943610967408174,1,0.971805483704087,0.943610967408174,1,0.970987490018632
Eclipse,knn,bootstrap,320,5803,5521,282,1934,1840,94,Description,200,1838,94,2,0,0.951345755693582,1,0.975672877846791,0.951345755693582,1,0.975066312997347
Eclipse,knn,bootstrap,352,5804,5571,233,1933,1856,77,Description,200,1856,77,0,0,0.960165545783756,NA,NA,0.960165545783756,1,0.979678015307469
Eclipse,knn,bootstrap,384,5803,5607,196,1934,1869,65,Description,200,1869,65,0,0,0.966390899689762,NA,NA,0.966390899689762,1,0.982908230344465
Eclipse,knn,bootstrap,416,5803,5635,168,1934,1878,56,Description,200,1878,56,0,0,0.971044467425026,NA,NA,0.971044467425026,1,0.985309548793284
Eclipse,knn,bootstrap,448,5804,5667,137,1933,1888,45,Description,200,1888,45,0,0,0.976720124159338,NA,NA,0.976720124159338,1,0.988222978277938
Eclipse,knn,bootstrap,480,5803,5683,120,1934,1894,40,Description,200,1894,40,0,0,0.979317476732161,NA,NA,0.979317476732161,1,0.989550679205852
Eclipse,knn,bootstrap,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,knn,cv52,4,5804,2511,3293,1933,836,1097,Description,200,286,346,550,751,0.45253164556962,0.422751729438893,0.437641687504257,0.45253164556962,0.27579556412729,0.342720191731576
Eclipse,knn,cv52,8,5803,3075,2728,1934,1025,909,Description,200,545,458,480,451,0.543369890329013,0.515574650912997,0.529472270621005,0.543369890329013,0.54718875502008,0.545272636318159
Eclipse,knn,cv52,12,5803,3318,2485,1934,1106,828,Description,200,654,453,452,375,0.590785907859079,0.546553808948005,0.568669858403542,0.590785907859079,0.635568513119534,0.612359550561798
Eclipse,knn,cv52,16,5803,3555,2248,1934,1185,749,Description,200,818,466,367,283,0.637071651090343,0.564615384615385,0.600843517852864,0.637071651090343,0.742960944595822,0.685953878406709
Eclipse,knn,cv52,20,5804,3702,2102,1933,1233,700,Description,200,905,488,328,212,0.64967695620962,0.607407407407407,0.628542181808514,0.64967695620962,0.810205908683975,0.721115537848606
Eclipse,knn,cv52,24,5804,3861,1943,1933,1286,647,Description,200,1045,522,241,125,0.666879387364391,0.658469945355191,0.662674666359791,0.666879387364391,0.893162393162393,0.763609791742784
Eclipse,knn,cv52,28,5804,3977,1827,1933,1325,608,Description,200,1064,469,261,139,0.694063926940639,0.6525,0.67328196347032,0.694063926940639,0.884455527847049,0.777777777777778
Eclipse,knn,cv52,32,5804,4085,1719,1933,1361,572,Description,200,1197,502,164,70,0.70453207769276,0.700854700854701,0.702693389273731,0.70453207769276,0.94475138121547,0.807147673634525
Eclipse,knn,cv52,64,5803,4612,1191,1934,1537,397,Description,200,1497,385,40,12,0.795430393198725,0.769230769230769,0.782330581214747,0.795430393198725,0.992047713717694,0.882925390740195
Eclipse,knn,cv52,96,5803,4867,936,1934,1622,312,Description,200,1592,297,30,15,0.842773954473266,0.666666666666667,0.754720310569966,0.842773954473266,0.990665836963286,0.910755148741419
Eclipse,knn,cv52,128,5803,5055,748,1934,1685,249,Description,200,1671,247,14,2,0.871220020855057,0.875,0.873110010427529,0.871220020855057,0.998804542737597,0.930659983291562
Eclipse,knn,cv52,160,5803,5181,622,1934,1727,207,Description,200,1723,206,4,1,0.893208916537066,0.8,0.846604458268533,0.893208916537066,0.999419953596288,0.943334245825349
Eclipse,knn,cv52,192,5804,5268,536,1933,1755,178,Description,200,1753,178,2,0,0.907819782496116,1,0.953909891248058,0.907819782496116,1,0.951682953311618
Eclipse,knn,cv52,224,5804,5367,437,1933,1788,145,Description,200,1785,144,3,1,0.925349922239502,0.75,0.837674961119751,0.925349922239502,0.999440089585666,0.960969044414536
Eclipse,knn,cv52,256,5804,5429,375,1933,1809,124,Description,200,1807,124,2,0,0.935784567581564,1,0.967892283790782,0.935784567581564,1,0.966827180310326
Eclipse,knn,cv52,288,5803,5475,328,1934,1825,109,Description,200,1824,109,1,0,0.943610967408174,1,0.971805483704087,0.943610967408174,1,0.970987490018632
Eclipse,knn,cv52,320,5803,5521,282,1934,1840,94,Description,200,1838,94,2,0,0.951345755693582,1,0.975672877846791,0.951345755693582,1,0.975066312997347
Eclipse,knn,cv52,352,5804,5571,233,1933,1856,77,Description,200,1856,77,0,0,0.960165545783756,NA,NA,0.960165545783756,1,0.979678015307469
Eclipse,knn,cv52,384,5803,5607,196,1934,1869,65,Description,200,1868,65,1,0,0.966373512674599,1,0.9831867563373,0.966373512674599,1,0.982899237042883
Eclipse,knn,cv52,416,5803,5635,168,1934,1878,56,Description,200,1878,56,0,0,0.971044467425026,NA,NA,0.971044467425026,1,0.985309548793284
Eclipse,knn,cv52,448,5804,5667,137,1933,1888,45,Description,200,1888,45,0,0,0.976720124159338,NA,NA,0.976720124159338,1,0.988222978277938
Eclipse,knn,cv52,480,5803,5683,120,1934,1894,40,Description,200,1894,40,0,0,0.979317476732161,NA,NA,0.979317476732161,1,0.989550679205852
Eclipse,knn,cv52,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,rf,bootstrap,4,5804,2511,3293,1933,836,1097,Description,200,246,209,590,888,0.540659340659341,0.399188092016238,0.469923716337789,0.540659340659341,0.216931216931217,0.309628697293896
Eclipse,rf,bootstrap,8,5803,3075,2728,1934,1025,909,Description,200,682,503,343,406,0.575527426160338,0.457943925233645,0.516735675696991,0.575527426160338,0.626838235294118,0.600087989441267
Eclipse,rf,bootstrap,12,5803,3318,2485,1934,1106,828,Description,200,935,640,171,188,0.593650793650794,0.476323119777159,0.534986956713976,0.593650793650794,0.832591273374889,0.693106004447739
Eclipse,rf,bootstrap,16,5803,3555,2248,1934,1185,749,Description,200,1114,681,71,68,0.620612813370474,0.510791366906475,0.565702090138474,0.620612813370474,0.942470389170897,0.748404433993954
Eclipse,rf,bootstrap,20,5804,3702,2102,1933,1233,700,Description,200,1217,681,16,19,0.641201264488936,0.457142857142857,0.549172060815896,0.641201264488936,0.98462783171521,0.776643267389917
Eclipse,rf,bootstrap,24,5804,3861,1943,1933,1286,647,Description,200,1282,635,4,12,0.668753260302556,0.25,0.459376630151278,0.668753260302556,0.990726429675425,0.79850513858611
Eclipse,rf,bootstrap,28,5804,3977,1827,1933,1325,608,Description,200,1319,602,6,6,0.686621551275377,0.5,0.593310775637689,0.686621551275377,0.995471698113208,0.812692544670363
Eclipse,rf,bootstrap,32,5804,4085,1719,1933,1361,572,Description,200,1360,565,1,7,0.706493506493507,0.125,0.415746753246753,0.706493506493507,0.99487929773226,0.826245443499392
Eclipse,rf,bootstrap,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,rf,bootstrap,96,5803,4867,936,1934,1622,312,Description,200,1622,312,0,0,0.838676318510858,NA,NA,0.838676318510858,1,0.912260967379078
Eclipse,rf,bootstrap,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,rf,bootstrap,160,5803,5181,622,1934,1727,207,Description,200,1727,207,0,0,0.892967942088935,NA,NA,0.892967942088935,1,0.943458071565146
Eclipse,rf,bootstrap,192,5804,5268,536,1933,1755,178,Description,200,1755,178,0,0,0.907915157785825,NA,NA,0.907915157785825,1,0.95173535791757
Eclipse,rf,bootstrap,224,5804,5367,437,1933,1788,145,Description,200,1788,145,0,0,0.924987066735644,NA,NA,0.924987066735644,1,0.961031980650363
Eclipse,rf,bootstrap,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,rf,bootstrap,288,5803,5475,328,1934,1825,109,Description,200,1825,109,0,0,0.94364012409514,NA,NA,0.94364012409514,1,0.971002926310189
Eclipse,rf,bootstrap,320,5803,5521,282,1934,1840,94,Description,200,1840,94,0,0,0.951396070320579,NA,NA,0.951396070320579,1,0.975092739798622
Eclipse,rf,bootstrap,352,5804,5571,233,1933,1856,77,Description,200,1856,77,0,0,0.960165545783756,NA,NA,0.960165545783756,1,0.979678015307469
Eclipse,rf,bootstrap,384,5803,5607,196,1934,1869,65,Description,200,1869,65,0,0,0.966390899689762,NA,NA,0.966390899689762,1,0.982908230344465
Eclipse,rf,bootstrap,416,5803,5635,168,1934,1878,56,Description,200,1878,56,0,0,0.971044467425026,NA,NA,0.971044467425026,1,0.985309548793284
Eclipse,rf,bootstrap,448,5804,5667,137,1933,1888,45,Description,200,1888,45,0,0,0.976720124159338,NA,NA,0.976720124159338,1,0.988222978277938
Eclipse,rf,bootstrap,480,5803,5683,120,1934,1894,40,Description,200,1894,40,0,0,0.979317476732161,NA,NA,0.979317476732161,1,0.989550679205852
Eclipse,rf,bootstrap,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,rf,cv52,4,5804,2511,3293,1933,836,1097,Description,200,236,215,600,882,0.523281596452328,0.404858299595142,0.464069948023735,0.523281596452328,0.211091234347048,0.300828553218611
Eclipse,rf,cv52,8,5803,3075,2728,1934,1025,909,Description,200,683,496,342,413,0.57930449533503,0.452980132450331,0.51614231389268,0.57930449533503,0.623175182481752,0.60043956043956
Eclipse,rf,cv52,12,5803,3318,2485,1934,1106,828,Description,200,943,643,163,185,0.594577553593947,0.468390804597701,0.531484179095824,0.594577553593947,0.835992907801418,0.694915254237288
Eclipse,rf,cv52,16,5803,3555,2248,1934,1185,749,Description,200,1123,687,62,62,0.620441988950276,0.5,0.560220994475138,0.620441988950276,0.947679324894515,0.74991652754591
Eclipse,rf,cv52,20,5804,3702,2102,1933,1233,700,Description,200,1218,684,15,16,0.640378548895899,0.483870967741935,0.562124758318917,0.640378548895899,0.987034035656402,0.776785714285714
Eclipse,rf,cv52,24,5804,3861,1943,1933,1286,647,Description,200,1282,639,4,8,0.667360749609578,0.333333333333333,0.500347041471456,0.667360749609578,0.993798449612403,0.79850513858611
Eclipse,rf,cv52,28,5804,3977,1827,1933,1325,608,Description,200,1322,601,3,7,0.687467498699948,0.3,0.493733749349974,0.687467498699948,0.994732881866065,0.813038130381304
Eclipse,rf,cv52,32,5804,4085,1719,1933,1361,572,Description,200,1360,566,1,6,0.706126687435099,0.142857142857143,0.424491915146121,0.706126687435099,0.995607613469985,0.826245443499393
Eclipse,rf,cv52,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,rf,cv52,96,5803,4867,936,1934,1622,312,Description,200,1622,312,0,0,0.838676318510858,NA,NA,0.838676318510858,1,0.912260967379078
Eclipse,rf,cv52,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,rf,cv52,160,5803,5181,622,1934,1727,207,Description,200,1727,207,0,0,0.892967942088935,NA,NA,0.892967942088935,1,0.943458071565146
Eclipse,rf,cv52,192,5804,5268,536,1933,1755,178,Description,200,1755,178,0,0,0.907915157785825,NA,NA,0.907915157785825,1,0.95173535791757
Eclipse,rf,cv52,224,5804,5367,437,1933,1788,145,Description,200,1788,145,0,0,0.924987066735644,NA,NA,0.924987066735644,1,0.961031980650363
Eclipse,rf,cv52,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,rf,cv52,288,5803,5475,328,1934,1825,109,Description,200,1825,109,0,0,0.94364012409514,NA,NA,0.94364012409514,1,0.971002926310189
Eclipse,rf,cv52,320,5803,5521,282,1934,1840,94,Description,200,1840,94,0,0,0.951396070320579,NA,NA,0.951396070320579,1,0.975092739798622
Eclipse,rf,cv52,352,5804,5571,233,1933,1856,77,Description,200,1856,77,0,0,0.960165545783756,NA,NA,0.960165545783756,1,0.979678015307469
Eclipse,rf,cv52,384,5803,5607,196,1934,1869,65,Description,200,1869,65,0,0,0.966390899689762,NA,NA,0.966390899689762,1,0.982908230344465
Eclipse,rf,cv52,416,5803,5635,168,1934,1878,56,Description,200,1878,56,0,0,0.971044467425026,NA,NA,0.971044467425026,1,0.985309548793284
Eclipse,rf,cv52,448,5804,5667,137,1933,1888,45,Description,200,1888,45,0,0,0.976720124159338,NA,NA,0.976720124159338,1,0.988222978277938
Eclipse,rf,cv52,480,5803,5683,120,1934,1894,40,Description,200,1894,40,0,0,0.979317476732161,NA,NA,0.979317476732161,1,0.989550679205852
Eclipse,rf,cv52,512,5804,5697,107,1933,1898,35,Description,200,1898,35,0,0,0.981893429901707,NA,NA,0.981893429901707,1,0.990864004176455
Eclipse,svm,bootstrap,4,5804,2511,3293,1933,836,1097,Description,200,41,24,795,1073,0.630769230769231,0.42558886509636,0.528179047932795,0.630769230769231,0.0368043087971275,0.0695504664970314
Eclipse,svm,bootstrap,8,5803,3075,2728,1934,1025,909,Description,200,706,537,319,372,0.567980691874497,0.4616497829233,0.514815237398898,0.567980691874497,0.654916512059369,0.608358466178371
Eclipse,svm,bootstrap,12,5803,3318,2485,1934,1106,828,Description,200,1101,820,5,8,0.573138990109318,0.384615384615385,0.478877187362351,0.573138990109318,0.992786293958521,0.726732673267327
Eclipse,svm,bootstrap,16,5803,3555,2248,1934,1185,749,Description,200,1184,748,1,1,0.612836438923395,0.5,0.556418219461698,0.612836438923395,0.99915611814346,0.759704844401668
Eclipse,svm,bootstrap,20,5804,3702,2102,1933,1233,700,Description,200,1233,699,0,1,0.638198757763975,0,0.319099378881988,0.638198757763975,0.999189627228525,0.778900821225521
Eclipse,svm,bootstrap,24,5804,3861,1943,1933,1286,647,Description,200,1286,647,0,0,0.665287118468701,NA,NA,0.665287118468701,1,0.799005902454178
Eclipse,svm,bootstrap,28,5804,3977,1827,1933,1325,608,Description,200,1325,605,0,3,0.686528497409326,0,0.343264248704663,0.686528497409326,0.997740963855422,0.813382443216697
Eclipse,svm,bootstrap,32,5804,4085,1719,1933,1361,572,Description,200,1361,572,0,0,0.704086911536472,NA,NA,0.704086911536472,1,0.826350941105039
Eclipse,svm,bootstrap,64,5803,4612,1191,1934,1537,397,Description,200,1537,397,0,0,0.794725956566701,NA,NA,0.794725956566701,1,0.885623739556324
Eclipse,svm,bootstrap,96,5803,4867,936,1934,1622,312,Description,200,1622,312,0,0,0.838676318510858,NA,NA,0.838676318510858,1,0.912260967379078
Eclipse,svm,bootstrap,128,5803,5055,748,1934,1685,249,Description,200,1685,249,0,0,0.871251292657704,NA,NA,0.871251292657704,1,0.931196463111357
Eclipse,svm,bootstrap,160,5803,5181,622,1934,1727,207,Description,200,1727,207,0,0,0.892967942088935,NA,NA,0.892967942088935,1,0.943458071565146
Eclipse,svm,bootstrap,192,5804,5268,536,1933,1755,178,Description,200,1755,178,0,0,0.907915157785825,NA,NA,0.907915157785825,1,0.95173535791757
Eclipse,svm,bootstrap,224,5804,5367,437,1933,1788,145,Description,200,1788,145,0,0,0.924987066735644,NA,NA,0.924987066735644,1,0.961031980650363
Eclipse,svm,bootstrap,256,5804,5429,375,1933,1809,124,Description,200,1809,124,0,0,0.93585100879462,NA,NA,0.93585100879462,1,0.966862640299305
Eclipse,svm,bootstrap,288,5803,5475,328,1934,1825,109,Description,200,1825,109,0,0,0.94364012409514,NA,NA,0.94364012409514,1,0.971002926310189
